player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Anquan Boldin,WR,FA,1,13,17,208,16.0,1,0,0,0.0,0,0.0,33.3,0.0
A.J. Green,WR,FA,1,9,13,162,18.0,2,0,0,0.0,0,0.0,32.7,0.0
Victor Cruz,WR,FA,1,5,8,118,23.6,3,0,0,0.0,0,0.0,32.3,0.0
Demaryius Thomas,WR,FA,1,5,11,161,32.2,2,0,0,0.0,0,0.0,30.6,0.0
Larry Fitzgerald,WR,FA,1,8,14,80,10.0,2,0,0,0.0,0,0.0,24.0,0.0
Julian Edelman,WR,FA,1,7,9,79,11.3,2,0,0,0.0,0,0.0,23.4,0.0
Leonard Hankerson,WR,FA,1,5,7,80,16.0,2,0,0,0.0,0,0.0,22.5,0.0
Jordy Nelson,WR,FA,1,7,10,130,18.6,1,0,0,0.0,0,0.0,22.5,0.0
Brian Hartline,WR,FA,1,9,14,114,12.7,1,0,0,0.0,0,0.0,21.9,0.0
Wes Welker,WR,FA,1,9,11,67,7.4,2,0,0,0.0,0,0.0,21.2,0.0
Randall Cobb,WR,NYJ,1,7,12,108,15.4,1,2,6,3.0,0,0.0,20.9,0.0
Andre Johnson,WR,FA,1,12,16,146,12.2,0,0,0,0.0,0,0.0,20.6,0.0
Brandon Marshall,WR,FA,1,8,10,104,13.0,1,0,0,0.0,0,0.0,20.4,0.0
Terrelle Pryor Sr.,WR,FA,1,0,0,0,0.0,0,13,112,8.6,0,0.0,19.9,0.0
DeSean Jackson,WR,FA,1,7,9,104,14.9,1,0,0,0.0,0,0.0,19.9,0.0
Reggie Wayne,WR,FA,1,8,8,96,12.0,1,0,0,0.0,0,0.0,19.6,0.0
Vincent Jackson,WR,FA,1,7,13,154,22.0,0,0,0,0.0,0,0.0,18.9,0.0
Jerome Simpson,WR,FA,1,7,8,140,20.0,0,0,0,0.0,0,0.0,17.5,0.0
Eddie Royal,WR,FA,1,3,6,24,8.0,2,0,0,0.0,0,0.0,15.9,0.0
Danny Amendola,WR,FA,1,10,14,104,10.4,0,0,0,0.0,0,0.0,15.4,0.0
Marques Colston,WR,FA,1,5,6,68,13.6,1,0,0,0.0,0,0.0,15.3,0.0
Julio Jones,WR,FA,1,7,9,76,10.9,1,0,0,0.0,0,0.0,15.1,0.0
Marlon Brown,WR,FA,1,4,6,65,16.3,1,0,0,0.0,0,0.0,14.5,0.0
