player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Terrell Owens,WR,FA,1,8,11,68,8.5,3,0,0,0.0,0,0.0,28.8,0.0
Isaac Bruce,WR,FA,1,9,13,112,12.4,1,0,0,0.0,0,0.0,21.7,0.0
Cedrick Wilson,WR,FA,1,7,10,94,13.4,1,0,0,0.0,0,0.0,18.9,0.0
Chad Johnson,WR,FA,1,5,8,99,19.8,1,0,0,0.0,0,0.0,18.4,0.0
Randy Moss,WR,FA,1,4,6,27,6.8,2,0,0,0.0,0,0.0,18.2,0.0
David Terrell,WR,FA,1,5,8,126,25.2,0,1,20,20.0,0,0.0,17.1,0.0
Terry Glenn,WR,FA,1,5,8,84,16.8,1,0,0,0.0,0,0.0,16.9,0.0
David Patten,WR,FA,1,4,7,86,21.5,1,0,0,0.0,0,0.0,16.6,0.0
Deion Branch,WR,FA,1,7,9,86,12.3,1,0,0,0.0,0,0.0,16.1,0.0
Brandon Stokley,WR,FA,1,4,5,77,19.3,1,0,0,0.0,0,0.0,15.7,0.0
Keyshawn Johnson,WR,FA,1,9,15,111,12.3,0,0,0,0.0,0,0.0,15.6,0.0
Eric Moulds,WR,FA,1,8,8,75,9.4,1,0,0,0.0,0,0.0,15.5,0.0
Reche Caldwell,WR,FA,1,4,6,65,16.3,1,0,0,0.0,0,0.0,14.5,0.0
Muhsin Muhammad,WR,FA,1,4,0,65,16.3,1,0,0,0.0,0,0.0,14.5,0.0
Joe Horn,WR,FA,1,6,9,110,18.3,0,0,0,0.0,0,0.0,14.0,0.0
Marvin Harrison,WR,FA,1,7,9,44,6.3,1,0,0,0.0,0,0.0,13.9,0.0
Doug Gabriel,WR,FA,1,3,4,81,27.0,1,1,3,3.0,0,0.0,13.9,0.0
Hines Ward,WR,FA,1,7,7,99,14.1,0,0,0,0.0,0,0.0,13.4,0.0
Darrell Jackson,WR,FA,1,7,10,98,14.0,0,0,0,0.0,0,0.0,13.3,0.0
Antonio Bryant,WR,FA,1,8,11,112,14.0,0,0,0,0.0,0,0.0,13.2,0.0
Torry Holt,WR,FA,1,7,9,96,13.7,0,0,0,0.0,0,0.0,13.1,0.0
Eddie Kennison,WR,FA,1,6,11,101,16.8,0,0,0,0.0,0,0.0,13.1,0.0
Marcus Robinson,WR,FA,1,3,5,54,18.0,1,0,0,0.0,0,0.0,12.9,0.0
Alvis Whitted,WR,FA,1,1,1,38,38.0,1,0,0,0.0,0,0.0,12.3,0.0
Quincy Morgan,WR,FA,1,1,2,46,46.0,1,0,0,0.0,0,0.0,11.1,0.0
Peter Warrick,WR,FA,1,5,7,76,15.2,0,1,8,8.0,0,0.0,10.9,0.0
Kelly Campbell,WR,FA,1,1,1,43,43.0,1,0,0,0.0,0,0.0,10.8,0.0
Rod Smith,WR,FA,1,7,9,76,10.9,0,1,-3,-3.0,0,0.0,10.8,0.0
Ashley Lelie,WR,FA,1,4,5,88,22.0,0,0,0,0.0,0,0.0,10.8,0.0
Az-Zahir Hakim,WR,FA,1,3,7,29,9.7,1,0,0,0.0,0,0.0,10.4,0.0
Jimmy Smith,WR,FA,1,4,12,83,20.8,0,0,0,0.0,0,0.0,10.3,0.0
David Givens,WR,FA,1,4,4,80,20.0,0,0,0,0.0,0,0.0,10.0,0.0
Peerless Price,WR,FA,1,4,6,62,15.5,0,1,16,16.0,0,0.0,9.8,0.0
Eric Parker,WR,FA,1,2,5,25,12.5,1,0,0,0.0,0,0.0,9.5,0.0
Jonathan Carter,WR,FA,1,1,1,46,46.0,1,0,0,0.0,0,0.0,9.1,0.0
Justin McCareins,WR,FA,1,5,7,66,13.2,0,0,0,0.0,0,0.0,9.1,0.0
Todd Pinkston,WR,FA,1,3,3,76,25.3,0,0,0,0.0,0,0.0,9.1,0.0
Roy Williams,WR,FA,1,4,6,69,17.3,0,1,1,1.0,0,0.0,9.0,0.0
Steve Smith,WR,FA,1,6,0,60,10.0,0,0,0,0.0,0,0.0,9.0,0.0
Larry Fitzgerald,WR,FA,1,4,8,70,17.5,0,1,-1,-1.0,0,0.0,8.9,0.0
Michael Clayton,WR,FA,1,7,11,53,7.6,0,0,0,0.0,0,0.0,8.8,0.0
Santana Moss,WR,FA,1,4,7,55,13.8,0,1,8,8.0,0,0.0,8.3,0.0
Rod Gardner,WR,FA,1,4,7,61,15.3,0,0,0,0.0,0,0.0,8.1,0.0
Andre Johnson,WR,FA,1,4,8,58,14.5,0,0,0,0.0,0,0.0,7.8,0.0
Ike Hilliard,WR,FA,1,3,9,59,19.7,0,0,0,0.0,0,0.0,7.4,0.0
Tim Carter,WR,FA,1,4,5,51,12.8,0,0,0,0.0,0,0.0,7.1,0.0
Chris Chambers,WR,FA,1,6,11,35,5.8,0,1,6,6.0,0,0.0,7.1,0.0
Kevin Johnson,WR,FA,1,5,8,43,8.6,0,0,0,0.0,0,0.0,6.8,0.0
Derrick Mason,WR,FA,1,3,4,51,17.0,0,0,0,0.0,0,0.0,6.6,0.0
Ricky Proehl,WR,FA,1,2,0,56,28.0,0,0,0,0.0,0,0.0,6.6,0.0
Randy Hymes,WR,FA,1,5,7,39,7.8,0,0,0,0.0,0,0.0,6.4,0.0
