player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Davante Adams,WR,LV,1,14,17,156,11.1,2,0,0,0.0,0,0.0,34.6,0.0
Calvin Ridley,WR,JAC,1,9,12,130,14.4,2,1,-1,-1.0,0,0.0,29.4,0.0
Adam Thielen,WR,CAR,1,6,8,110,18.3,2,0,0,0.0,0,0.0,28.0,0.0
Darius Slayton,WR,NYG,1,6,9,102,17.0,2,0,0,0.0,0,0.0,25.2,0.0
Robbie Chosen,WR,MIA,1,6,8,114,19.0,1,0,0,0.0,0,0.0,22.4,0.0
DeAndre Hopkins,WR,TEN,1,14,16,151,10.8,0,0,0,0.0,0,0.0,22.1,0.0
JuJu Smith-Schuster,WR,NE,1,6,6,69,11.5,2,0,0,0.0,0,0.0,21.9,0.0
Jamison Crowder,WR,WAS,1,7,13,115,16.4,1,0,0,0.0,0,0.0,21.0,0.0
Julio Jones,WR,FA,1,9,12,157,17.4,0,0,0,0.0,0,0.0,20.2,0.0
Sammy Watkins,WR,FA,1,7,9,82,11.7,1,1,3,3.0,0,0.0,18.0,0.0
Marquez Valdes-Scantling,WR,KC,1,4,6,96,24.0,1,0,0,0.0,0,0.0,17.6,0.0
DK Metcalf,WR,SEA,1,4,8,95,23.8,1,0,0,0.0,0,0.0,17.5,0.0
Allen Lazard,WR,NYJ,1,4,4,63,15.8,1,1,19,19.0,0,0.0,16.2,0.0
John Brown,WR,FA,1,6,10,70,11.7,1,0,0,0.0,0,0.0,16.0,0.0
Russell Gage,WR,TB,1,9,12,114,12.7,0,0,0,0.0,0,0.0,15.9,0.0
Anthony Miller,WR,IND,1,4,6,76,19.0,1,0,0,0.0,0,0.0,15.6,0.0
William Fuller V,WR,FA,1,8,10,112,14.0,0,0,0,0.0,0,0.0,15.2,0.0
Robert Woods,WR,HOU,1,6,8,105,17.5,0,1,14,14.0,0,0.0,14.9,0.0
Willie Snead IV,WR,SF,1,4,4,64,16.0,1,0,0,0.0,0,0.0,14.4,0.0
Corey Davis,WR,FA,1,7,8,101,14.4,0,0,0,0.0,0,0.0,13.6,0.0
Keelan Cole Sr.,WR,LV,1,5,5,47,9.4,1,0,0,0.0,0,0.0,13.2,0.0
Tyler Lockett,WR,SEA,1,8,8,92,11.5,0,0,0,0.0,0,0.0,13.2,0.0
Tyreek Hill,WR,MIA,1,5,6,46,9.2,1,0,0,0.0,0,0.0,13.1,0.0
Amari Cooper,WR,CLE,1,10,14,81,8.1,0,0,0,0.0,0,0.0,13.1,0.0
Marquise Brown,WR,ARI,1,5,6,101,20.2,0,0,0,0.0,0,0.0,12.6,0.0
Stefon Diggs,WR,BUF,1,8,9,86,10.8,0,0,0,0.0,0,0.0,12.6,0.0
Laviska Shenault Jr.,WR,CAR,1,3,4,37,12.3,1,2,10,5.0,0,0.0,12.2,0.0
Parris Campbell,WR,NYG,1,6,9,71,11.8,0,1,9,9.0,0,0.0,11.0,0.0
Chris Godwin,WR,TB,1,6,7,79,13.2,0,0,0,0.0,0,0.0,10.9,0.0
Danny Amendola,WR,FA,1,5,7,81,16.2,0,0,0,0.0,0,0.0,10.6,0.0
Julian Edelman,WR,FA,1,5,7,57,11.4,0,1,23,23.0,0,0.0,10.5,0.0
James Washington,WR,FA,1,2,3,34,17.0,1,0,0,0.0,0,0.0,10.4,0.0
Scott Miller,WR,ATL,1,5,6,73,14.6,0,1,6,6.0,0,0.0,10.4,0.0
