player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Kevin Ogletree,WR,FA,1,8,11,114,14.3,2,0,0,0.0,0,0.0,27.4,0.0
Julio Jones,WR,FA,1,6,9,108,18.0,2,0,0,0.0,0,0.0,25.8,0.0
Stephen Hill,WR,FA,1,5,6,89,17.8,2,0,0,0.0,0,0.0,23.4,0.0
Brandon Marshall,WR,FA,1,9,15,119,13.2,1,0,0,0.0,0,0.0,22.4,0.0
Andre Johnson,WR,FA,1,8,10,119,14.9,1,0,0,0.0,0,0.0,21.9,0.0
Lance Moore,WR,FA,1,6,10,120,20.0,1,0,0,0.0,0,0.0,21.0,0.0
Demaryius Thomas,WR,FA,1,5,7,110,22.0,1,0,0,0.0,0,0.0,19.5,0.0
Jeremy Maclin,WR,FA,1,7,14,96,13.7,1,0,0,0.0,0,0.0,19.1,0.0
Pierre Garcon,WR,FA,1,4,4,109,27.3,1,0,0,0.0,0,0.0,18.9,0.0
Reggie Wayne,WR,FA,1,9,18,135,15.0,0,0,0,0.0,0,0.0,18.0,0.0
James Jones,WR,FA,1,4,6,81,20.3,1,0,0,0.0,0,0.0,16.1,0.0
Alshon Jeffery,WR,FA,1,3,5,80,26.7,1,0,0,0.0,0,0.0,15.5,0.0
Andre Roberts,WR,FA,1,5,9,54,10.8,1,1,15,15.0,0,0.0,15.4,0.0
Cecil Shorts,WR,FA,1,4,7,74,18.5,1,0,0,0.0,0,0.0,15.4,0.0
Miles Austin,WR,FA,1,4,4,73,18.3,1,0,0,0.0,0,0.0,15.3,0.0
Malcom Floyd,WR,FA,1,4,6,66,16.5,1,0,0,0.0,0,0.0,14.6,0.0
Anquan Boldin,WR,FA,1,4,5,63,15.8,1,1,3,3.0,0,0.0,14.6,0.0
Steve Smith,WR,FA,1,7,11,106,15.1,0,0,0,0.0,0,0.0,14.1,0.0
Calvin Johnson,WR,FA,1,6,7,111,18.5,0,0,0,0.0,0,0.0,14.1,0.0
Brandon LaFell,WR,FA,1,3,5,65,21.7,1,0,0,0.0,0,0.0,14.0,0.0
Steve Johnson,WR,FA,1,4,10,55,13.8,1,0,0,0.0,0,0.0,13.5,0.0
Percy Harvin,WR,FA,1,6,8,84,14.0,0,5,20,4.0,0,0.0,13.4,0.0
Aldrick Robinson,WR,FA,1,4,6,52,13.0,1,0,0,0.0,0,0.0,13.2,0.0
Brandon Gibson,WR,FA,1,4,5,51,12.8,1,0,0,0.0,0,0.0,13.1,0.0
Randy Moss,WR,FA,1,4,4,47,11.8,1,0,0,0.0,0,0.0,12.7,0.0
Andrew Hawkins,WR,FA,1,8,9,86,10.8,0,0,0,0.0,0,0.0,12.6,0.0
Donald Jones,WR,FA,1,5,7,41,8.2,1,0,0,0.0,0,0.0,12.6,0.0
Jeremy Kerley,WR,FA,1,4,4,45,11.3,1,0,0,0.0,0,0.0,12.5,0.0
Nate Washington,WR,FA,1,2,8,53,26.5,1,0,0,0.0,0,0.0,12.3,0.0
Randall Cobb,WR,NYJ,1,9,9,77,8.6,0,0,0,0.0,0,0.0,12.2,0.0
Mike Wallace,WR,FA,1,4,6,37,9.3,1,0,0,0.0,0,0.0,11.7,0.0
Roddy White,WR,FA,1,6,8,87,14.5,0,0,0,0.0,0,0.0,11.7,0.0
Sidney Rice,WR,FA,1,4,9,36,9.0,1,0,0,0.0,0,0.0,11.6,0.0
Donnie Avery,WR,FA,1,3,8,37,12.3,1,0,0,0.0,0,0.0,11.2,0.0
Michael Crabtree,WR,FA,1,7,9,76,10.9,0,0,0,0.0,0,0.0,11.1,0.0
Jordy Nelson,WR,FA,1,5,7,64,12.8,0,0,0,0.0,0,0.0,10.9,0.0
Rod Streater,WR,FA,1,4,10,27,6.8,1,0,0,0.0,0,0.0,10.7,0.0
Dez Bryant,WR,FA,1,4,5,85,21.3,0,0,0,0.0,0,0.0,10.5,0.0
Nate Burleson,WR,FA,1,6,8,69,11.5,0,1,6,6.0,0,0.0,10.5,0.0
DeSean Jackson,WR,FA,1,4,11,77,19.3,0,1,5,5.0,0,0.0,10.2,0.0
Antonio Brown,WR,FA,1,4,8,74,18.5,0,1,4,4.0,0,0.0,9.8,0.0
Danny Amendola,WR,FA,1,5,9,70,14.0,0,1,2,2.0,0,0.0,9.7,0.0
A.J. Green,WR,FA,1,5,11,70,14.0,0,0,0,0.0,0,0.0,9.5,0.0
Brandon Lloyd,WR,FA,1,5,8,69,13.8,0,0,0,0.0,0,0.0,9.4,0.0
Laurent Robinson,WR,FA,1,5,9,66,13.2,0,0,0,0.0,0,0.0,9.1,0.0
Santonio Holmes,WR,FA,1,4,8,68,17.0,0,0,0,0.0,0,0.0,8.8,0.0
Victor Cruz,WR,FA,1,6,11,58,9.7,0,0,0,0.0,0,0.0,8.8,0.0
Larry Fitzgerald,WR,FA,1,4,11,63,15.8,0,0,0,0.0,0,0.0,8.3,0.0
Mike Williams,WR,FA,1,2,3,12,6.0,1,0,0,0.0,0,0.0,8.2,0.0
