player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Calvin Johnson,WR,FA,1,7,11,164,23.4,2,0,0,0.0,0,0.0,31.9,0.0
Allen Hurns,WR,FA,1,4,9,110,27.5,2,0,0,0.0,0,0.0,25.0,0.0
A.J. Green,WR,FA,1,6,9,131,21.8,1,1,5,5.0,0,0.0,22.6,0.0
Steve Smith,WR,FA,1,7,15,118,16.9,1,0,0,0.0,0,0.0,21.3,0.0
Antonio Brown,WR,FA,1,5,6,116,23.2,1,0,0,0.0,0,0.0,20.1,0.0
Brandin Cooks,WR,DAL,1,7,8,77,11.0,1,1,18,18.0,0,0.0,19.0,0.0
Kelvin Benjamin,WR,FA,1,6,8,92,15.3,1,0,0,0.0,0,0.0,18.2,0.0
Jeremy Maclin,WR,FA,1,4,10,97,24.3,1,0,0,0.0,0,0.0,17.7,0.0
DeAndre Hopkins,WR,TEN,1,4,5,89,22.3,1,0,0,0.0,0,0.0,16.9,0.0
Roddy White,WR,FA,1,5,7,72,14.4,1,0,0,0.0,0,0.0,15.7,0.0
Mike Wallace,WR,FA,1,7,11,81,11.6,1,0,0,0.0,0,0.0,15.6,0.0
Brandon Marshall,WR,FA,1,8,12,71,8.9,1,0,0,0.0,0,0.0,15.1,0.0
Randall Cobb,WR,NYJ,1,6,9,58,9.7,1,0,0,0.0,0,0.0,14.8,0.0
Greg Jennings,WR,FA,1,6,7,58,9.7,1,0,0,0.0,0,0.0,14.8,0.0
Michael Floyd,WR,FA,1,5,7,119,23.8,0,1,2,2.0,0,0.0,14.6,0.0
Julian Edelman,WR,FA,1,6,8,95,15.8,0,2,21,10.5,0,0.0,14.6,0.0
Reggie Wayne,WR,FA,1,9,13,98,10.9,0,0,0,0.0,0,0.0,14.3,0.0
Anquan Boldin,WR,FA,1,8,9,99,12.4,0,0,0,0.0,0,0.0,13.9,0.0
Kendall Wright,WR,FA,1,6,7,46,7.7,1,0,0,0.0,0,0.0,13.6,0.0
Percy Harvin,WR,FA,1,7,7,59,8.4,0,4,41,10.2,0,0.0,13.5,0.0
Brian Quick,WR,FA,1,7,9,99,14.1,0,0,0,0.0,0,0.0,13.4,0.0
Julio Jones,WR,FA,1,7,9,116,16.6,0,0,0,0.0,0,0.0,13.1,0.0
Rod Streater,WR,FA,1,5,7,46,9.2,1,0,0,0.0,0,0.0,13.1,0.0
Malcom Floyd,WR,FA,1,4,6,50,12.5,1,0,0,0.0,0,0.0,13.0,0.0
Terrance Williams,WR,FA,1,4,7,50,12.5,1,0,0,0.0,0,0.0,13.0,0.0
Jordy Nelson,WR,FA,1,9,14,83,9.2,0,0,0,0.0,0,0.0,12.8,0.0
Pierre Garcon,WR,FA,1,10,12,77,7.7,0,0,0,0.0,0,0.0,12.7,0.0
Markus Wheaton,WR,FA,1,6,7,97,16.2,0,0,0,0.0,0,0.0,12.7,0.0
